Course,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,,,
ART 134**,1,1,1,1,1,1,1,1,,,
ART 135**,1,1,1,1,1,1,1,1,,,
ART 136**,1,1,1,1,1,1,1,1,,,
ART 137**,1,0,1,0,1,0,1,0,,,
ART 211,1,0,1,0,1,0,1,0,,,
ART 216**,1,0,1,0,1,0,1,0,,,
ART 225**,1,0,1,0,1,0,1,0,,,
ART 230**,1,0,1,0,1,0,1,0,,,
ART 311**,0,1,0,1,0,1,0,1,,,
ART 316**,0,1,0,1,0,1,0,1,,,
ART 325**,0,1,0,1,0,1,0,1,,,
ART 330**,0,1,0,1,0,1,0,1,,,
ART 411**,1,0,1,0,1,0,1,0,,,
ART 416**,1,0,1,0,1,0,1,0,,,
ART 425**,1,0,1,0,1,0,1,0,,,
ART 430**,1,0,1,0,1,0,1,0,,,
ART 492 A, B, C, D**,0,1,0,1,0,1,0,1
