Course,Fall 22,Spr 23,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26
ENG 103,0,0,0,0,0,0,0,0
ENG 110**,1,0,1,0,1,0,1,0
ENG 124**,1,1,1,1,1,1,1,1
ENG 140Â (APS)**,1,1,1,1,1,1,1,1
ENG 200E**,1,0,1,0,1,0,1,0
ENG 200L**,0,1,0,1,0,1,0,1
ENG 205**,1,1,1,1,1,1,1,1
ENG 210**,1,0,1,1,1,1,1,1
ENG 225**,1,1,1,1,1,1,1,1
ENG 240**,1,1,1,1,1,1,1,1
ENG 270**,1,0,1,0,1,0,1,0
ENG 282F**,1,1,1,1,1,1,1,1
ENG 282NF**,0,0,1,1,1,1,1,1
ENG 282P**,1,0,1,1,1,1,1,1
ENG 282E**,0,0,1,1,1,1,1,1
ENG 305**,1,1,1,1,1,1,1,1
ENG 310**,1,0,1,1,1,1,1,1
ENG 325**,1,1,1,1,1,1,1,1
ENG 330**,0,0,0,1,0,1,0,1
ENG 340**,1,1,1,1,1,1,1,1
ENG 382**,1,1,1,1,1,1,1,1
ENG 384,0,0,0,0,0,0,0,0
ENG 387**,0,0,0,1,0,1,0,1
ENG 470**,1,0,1,0,1,0,1,0
ENG 485**,0,1,0,1,0,1,0,1
