Course,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28,Spr 29
HIS 103 (AFR),0,0,0,0,0,0,0,0
HIS 112,0,0,1,0,0,0,0,0
HIS 122 (AST)**,1,0,1,0,1,0,1,0
HIS 123 (AST)**,0,0,0,1,0,1,0,1
HIS 124,1,0,0,0,0,0,1,0
HIS 126,1,0,1,0,0,0,1,0
HIS 127,0,1,0,0,0,1,0,1
HIS 128,0,0,0,0,0,0,0,0
HIS 129,0,0,0,0,0,0,0,0
HIS 131,0,0,0,0,0,0,0,0
HIS 133,0,0,0,1,0,0,0,1
HIS 134,0,1,0,0,0,1,0,0
HIS 140 (SPN)**,0,0,0,0,0,0,0,0
HIS 161**,1,0,1,0,1,0,1,0
HIS 162**,0,0,0,0,0,0,0,0
HIS 165 (AFR)**,0,0,0,0,0,0,0,0
HIS 175 (PSC),1,0,1,0,1,0,1,0
HIS 200**,1,1,1,0,1,1,0,1
HIS 229 (AST),1,0,0,0,0,0,1,0
HIS 242 (AFR),0,0,0,0,0,0,0,0
HIS 243 (AST),0,0,1,0,1,0,1,0
HIS 244,0,1,0,0,0,0,0,1
HIS 245 (AFR),0,0,0,0,0,0,0,0
HIS 246,0,0,0,1,0,0,0,0
HIS 250,0,1,0,0,0,0,0,0
HIS 303,0,1,0,0,0,0,0,1
HIS 309,0,0,0,0,0,0,0,0
HIS 310,0,0,0,0,0,0,0,0
HIS 311,0,0,0,0,0,0,0,0
HIS 320,1,0,0,0,1,0,0,0
HIS 324A (AST),0,0,0,0,0,0,0,0
HIS 324C (AST),0,0,0,0,0,0,0,1
HIS 324J (AST),0,0,0,0,0,1,0,0
HIS 335,1,0,0,0,0,0,1,0
HIS 356 (AFR),0,0,0,0,0,0,0,0
HIS 406**,1,0,1,0,0,0,1,0
