Course,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28
MAT 010**,0,1,0,1,0,1,0,1
MAT 011**,1,1,1,1,1,1,1,1
MAT 012**,1,1,1,1,1,1,1,1
MAT 101,1,0,1,0,1,0,1,0
MAT 104**,1,1,1,1,1,1,1,1
MAT 105**,1,1,1,1,1,1,1,1
MAT 115**,1,1,1,1,1,1,1,1
MAT 125**,1,1,1,1,1,1,1,1
MAT 135**,1,1,1,1,1,1,1,1
MAT 201**,0,1,0,1,0,1,0,1
MAT 202**,1,0,1,0,1,0,1,0
MAT 203,0,0,1,0,0,0,1,0
MAT 214**,0,1,0,1,0,1,0,1
MAT 225**,1,1,1,1,1,1,1,1
MAT 308,0,0,0,1,0,0,0,1
MAT 311**,0,0,0,1,0,0,0,1
MAT 312,0,1,0,0,0,1,0,0
MAT 315**,1,0,1,0,1,0,1,0
MAT 321**,1,0,0,0,1,0,0,0
MAT 330**,1,0,1,0,1,0,1,0
MAT 337**,0,1,0,1,0,1,0,1
MAT 415**,1,0,1,0,1,0,1,0
MAT 426**,0,1,0,1,0,1,0,1
MAT 432,0,0,0,1,0,0,0,1
MAT 433,0,0,1,0,0,0,1,0
MAT 434**,0,1,0,0,0,1,0,0
MAT 435,1,0,0,0,1,0,0,0
MAT 436,0,0,1,0,0,0,1,0
MAT 438**,1,0,0,0,1,0,0,0
MAT 492**,1,0,1,0,1,0,1,0
