Course,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26,Fall 26,Spr 27
PHY 111**,1,0,1,0,1,0,1,0
PHY 127**,1,1,1,1,1,1,1,1
PHY 128**,0,1,0,1,0,1,0,1
PHY 130**,1,0,1,0,1,0,1,0
PHY 221**,0,1,0,1,0,1,0,1
PHY 222**,1,0,1,0,1,0,1,0
PHY 320**,0,0,0,1,0,0,0,1
PHY 321,1,0,0,0,0,0,0,0
PHY 335,0,1,0,0,0,1,0,0
PHY 340,0,0,0,1,0,1,0,1
PHY 341**,1,0,1,0,1,0,1,0
PHY 365**,0,1,0,0,0,1,0,0
PHY 460**,0,0,1,0,0,0,1,0
PHY 481**,1,0,0,0,1,0,0,0
PHY 482**,1,0,0,0,1,0,0,0
PHY 485,0,0,0,1,0,0,0,1
PHY 492**,1,1,1,1,1,1,1,1
