Course,Fall 23,Spr 24,Fall 24,Spr 25,Fall 25,Spr 26
REL 100**,0,0,0,1,0,1
REL 105**,0,1,0,1,0,1
REL 107**,0,1,0,1,0,1
REL 109,0,1,0,1,0,1
REL 110,0,0,0,0,0,0
REL 136 (AFR),0,1,0,1,0,1
REL 201,1,0,1,0,1,0
REL 204**,0,1,0,1,0,1
REL 211 (WGS),0,0,0,0,0,0
REL 212,0,0,0,0,0,0
REL 222 (CLS),0,0,0,0,0,0
REL 224,0,0,0,0,0,0
REL 225,0,0,1,0,0,0
REL 228**,0,1,0,1,0,1
REL 235,0,0,0,0,0,0
REL 238 (AFR),0,0,0,0,0,0
REL 240,0,0,0,0,0,0
REL 242,0,0,0,0,0,0
REL 250,0,0,0,0,0,0
REL 260 (AST)**,0,0,0,1,0,1
REL 271 (AST/PHI),0,0,0,0,0,0
REL 281 (PHI),0,0,0,0,0,0
REL 302,0,0,0,0,0,0
REL 480**,0,0,1,0,1,0
