Course,Fall 26,Spr 27,Fall 27,Spr 28,Fall 28,Spr 29,Fall 29,Spr 30
SOC 100**,1,1,1,1,1,1,1,1
SOC 110**,0,1,1,1,0,1,1,0
SOC 132Â (AFR)**,1,0,1,0,1,0,1,0
SOC 200,0,1,0,1,0,1,0,1
SOC 201 (CFS/WGS),0,1,0,1,0,1,0,1
SOC 202,0,0,1,0,0,0,1,0
SOC 212,0,1,0,1,0,1,0,1
SOC 215,0,0,0,1,0,0,0,1
SOC 220**,1,0,1,0,1,0,1,0
SOC 223,0,1,0,0,0,0,0,1
SOC 300 (CFS),0,0,0,0,0,0,0,0
SOC 325Â (WGS),0,0,0,0,0,0,0,0
SOC 330Â (APS),0,0,0,0,0,0,0,0
SOC 335**,1,0,1,0,1,0,1,0
SOC 340**,1,0,0,0,1,0,0,0
SOC 341**,0,0,0,1,0,0,0,1
SOC 348,0,0,0,0,0,0,0,0
SOC 350**,0,1,0,1,0,1,0,1
SOC 436**,0,1,0,1,0,1,0,1
SOC 461**,0,0,0,0,0,0,0,0
